epoch,train_loss,val_loss,auc
1,0.4598430654276972,0.4461805259466895,0.8689793257589867
2,0.37934589395765594,0.40029078878021385,0.8844756937977277
3,0.3459207299940893,0.4222234167124686,0.889374185136897
4,0.3177761355318722,0.4431604557361154,0.8810206742410133
5,0.29065161653724825,0.4303196627019208,0.8930992736077482
6,0.26859834900246576,0.4880654634639327,0.8821335444216801
7,0.2458195643678271,0.38507977094111207,0.9044235425591357
8,0.22866560688656407,0.48369088846969677,0.8832883218476439
9,0.19840646140931376,0.6148041743836019,0.8855326876513318
10,0.18063041589805784,0.5461961461481255,0.8972667163345129
11,0.155376341276427,0.6455120517563482,0.8957673682249954
12,0.14673993726115034,0.5451571597678485,0.9080368783758614
13,0.13237247518871142,0.5762418322095559,0.8971409945986217
14,0.12021594016008244,0.6720545563298491,0.8867014341590613
15,0.10337645238398332,0.6835834066498719,0.9040463773514622
16,0.10128624282526716,0.6686433079752828,0.8965170422797542
17,0.08997811237693909,0.7789638339229528,0.8877118644067796
18,0.0786666695801717,0.7411797354181547,0.9046610169491525
19,0.07992596119960084,0.9074773549668248,0.8794514807226672
20,0.07698797787233294,0.6934747098971933,0.8833069472899981
21,0.07333083349334303,0.8137067854856685,0.892428757682995
22,0.0642335798967266,0.8562204083526713,0.8927360774818401
