epoch,train_loss,val_loss,auc
1,0.45959503842338956,0.4321731486229144,0.8776308437325387
2,0.3794704193556475,0.3690199844980095,0.9100763643136525
3,0.34745699470408925,0.41805795621980485,0.8807599180480535
4,0.32441635182932615,0.4021128587797849,0.9014807226671634
5,0.3071318810547445,0.38794099651446656,0.8947429688955112
6,0.27572945818928446,0.4388497680798738,0.8930433972806854
7,0.25620343696885267,0.47991378716163463,0.8869482212702552
8,0.2273398638382811,0.6231647201662541,0.868997951201341
9,0.21169850706956345,0.564805590503811,0.9056807599180479
10,0.18343269277342625,0.5043537710568612,0.9052430620227231
11,0.1777270047560982,0.5634236623319672,0.8907059042652263
12,0.14967635942590932,0.5616355000207927,0.8978906686533805
