,image-level,study-level
auc,0.9100763643136525,0.9250368188512519
kappa,0.6657597231768303,0.702136573104315
accuracy,0.8376327769347496,0.8607594936708861
sensitivity,0.7254237288135593,0.7216494845360825
specificity,0.9285714285714286,0.9571428571428572
precision,0.8916666666666667,0.9210526315789473
f1,0.7999999999999999,0.8092485549132947
tn,338.0,134.0
fp,26.0,6.0
fn,81.0,27.0
tp,214.0,70.0
