epoch,train_loss,val_loss,auc
1,0.4566795013300995,0.4094709590280906,0.8823803315328739
2,0.38201096385008393,0.4045152852314557,0.8898398211957534
3,0.3521697401902635,0.39990481765932306,0.8954879865896814
4,0.3256214019018084,0.39425683455691535,0.8980303594710375
5,0.3095963067016805,0.43319476044232275,0.8854861240454461
6,0.2801170022493508,0.407914134367102,0.9128981188303223
7,0.2641550153493881,0.4430290760984008,0.8997625256099832
8,0.24418617574722676,0.5413064956665039,0.8912274166511456
9,0.22116701625183627,0.457619121340591,0.9023887129819332
10,0.19525495645841484,0.5107362125583321,0.8954553920655616
11,0.18102134688405153,0.606825889151809,0.8864546470478674
12,0.16032042398963237,0.5563986927330246,0.888284596759173
13,0.14413849888422922,0.6248220851099364,0.8886850437697895
14,0.13019493629298706,0.770541342506708,0.8830880983423357
15,0.11545589291188832,0.7739546857943846,0.8804246600856771
16,0.10516301573691943,0.6797737053090958,0.8955392065561556
